用户ID,客户分类,区域,是否省会,7月销量,8月销量,9月销量,10月销量,11月销量
24785,A类,二线城市,否,12,7,,3,2
31979,A类,一线城市,否,18,21,16,9,5
39747,A类,二线城市,否,21,26,14,29,17
55530,A类,二线城市,否,,11,7,20,1
19408,A类,三线城市,否,43,46,50,25,25
44296,A类,二线城市,否,12,14,13,7,10
18145,A类,二线城市,否,6,6,12,18,11
3388,A类,二线城市,否,20,14,15,17,13
2400,A类,二线城市,否,13,7,13,11,5
37655,A类,二线城市,否,9,10,2,10,9
16636,A类,三线城市,否,43,31,27,25,13
57476,A类,二线城市,否,12,9,9,0,0
1113,A类,二线城市,否,31,21,26,30,31
6509,A类,二线城市,否,10,5,14,14,11
8670,A类,三线城市,否,10,8,15,11,10
58169,A类,二线城市,否,28,22,33,21,23
21294,A类,二线城市,否,14,3,19,33,37
23807,A类,二线城市,否,11,11,12,8,10
2587,A类,二线城市,否,9,10,6,6,5
8335,A类,三线城市,否,6,,7,6,1
49057,A类,二线城市,否,7,2,7,14,3
53989,A类,二线城市,否,5,8,15,11,13
10947,A类,二线城市,否,45,28,22,24,34
44425,A类,二线城市,否,6,7,14,12,14
56266,A类,二线城市,否,13,11,15,9,14
22687,A类,二线城市,否,5,6,11,13,10
19230,A类,二线城市,否,11,8,10,6,9
1817,A类,二线城市,否,9,12,17,12,19
4433,A类,二线城市,否,31,3,3,0,2
8386,A类,二线城市,否,10,12,8,13,1
36084,A类,二线城市,否,8,2,7,11,11
44852,A类,二线城市,否,18,26,28,31,10
27015,A类,三线城市,否,11,15,8,3,12
16786,A类,三线城市,否,10,10,10,0,3
21295,A类,二线城市,否,17,8,8,6,17
57634,A类,一线城市,否,6,4,13,6,3
2816,A类,二线城市,否,24,24,17,19,16
55542,A类,二线城市,否,9,8,5,5,7
58103,A类,二线城市,否,13,8,17,5,16
52243,A类,二线城市,否,20,11,12,27,24
5291,A类,二线城市,否,14,19,19,20,18
26354,A类,二线城市,否,23,21,16,18,10
34730,A类,二线城市,否,14,13,11,6,12
29531,A类,三线城市,否,13,9,8,14,11
53378,A类,二线城市,否,20,7,6,16,5
6676,A类,二线城市,否,12,5,8,9,5
18039,A类,二线城市,否,16,8,19,9,8
28280,A类,三线城市,否,4,,,0,1
3276,A类,二线城市,否,5,14,5,1,4
3117,A类,二线城市,否,7,6,4,6,16
4908,A类,二线城市,否,18,8,26,19,17
8469,A类,二线城市,否,6,4,7,8,9
53078,A类,二线城市,否,19,4,17,16,30
14299,A类,二线城市,否,36,23,21,15,15
34373,A类,二线城市,否,2,27,10,13,22
55902,A类,一线城市,否,7,12,5,0,0
3446,A类,二线城市,否,8,,12,3,12
42734,A类,二线城市,否,12,3,9,8,7
42062,A类,二线城市,否,19,21,18,14,15
46340,A类,二线城市,否,5,6,9,6,7
48615,A类,二线城市,否,80,71,117,134,97
4726,A类,一线城市,否,8,8,12,11,6
27877,A类,二线城市,否,23,5,8,11,7
17770,A类,二线城市,否,21,11,26,28,24
5575,A类,二线城市,否,30,26,27,25,18
58614,A类,三线城市,否,4,27,9,1,0
469,A类,二线城市,否,20,6,8,14,4
11901,A类,三线城市,否,11,6,17,8,8
20055,A类,二线城市,否,11,6,4,12,8
47133,A类,三线城市,否,21,14,6,3,3
12054,A类,二线城市,否,10,12,15,12,10
9913,A类,二线城市,否,22,12,19,27,21
43147,A类,二线城市,否,2,,,0,0
12908,A类,二线城市,否,6,7,8,3,5
24366,A类,三线城市,否,17,11,5,9,7
7632,A类,二线城市,否,11,11,11,5,9
31930,A类,二线城市,否,25,15,33,42,45
38693,A类,二线城市,否,17,16,17,22,15
42821,A类,二线城市,否,10,8,8,10,9
32043,A类,一线城市,否,16,5,21,17,5
46213,A类,三线城市,否,12,11,20,7,1
51907,A类,二线城市,否,8,6,7,6,3
11582,A类,二线城市,否,31,34,18,36,21
32356,A类,二线城市,否,10,12,13,6,7
27037,A类,二线城市,否,20,20,16,12,16
10190,A类,二线城市,否,3,6,10,13,18
19489,A类,二线城市,否,6,8,5,10,4
24012,A类,一线城市,否,5,3,6,7,7
46173,A类,三线城市,否,8,3,2,1,1
47936,A类,一线城市,否,25,26,39,23,12
47106,A类,一线城市,否,13,10,14,15,8
58866,A类,二线城市,否,5,3,4,6,7
46642,A类,二线城市,否,5,10,9,7,4
51679,A类,二线城市,否,1,14,5,2,8
49718,A类,二线城市,否,14,12,8,13,10
48147,A类,二线城市,否,85,99,76,89,81
45953,A类,二线城市,否,2,8,11,4,6
60738,A类,二线城市,否,11,23,14,15,17
6988,A类,二线城市,否,28,33,24,13,15
10534,A类,二线城市,否,6,6,11,3,18
30814,A类,二线城市,否,12,11,4,11,17
7886,A类,二线城市,否,8,24,34,33,19
7104,A类,一线城市,否,4,3,4,5,7
7596,A类,二线城市,否,17,9,1,7,23
48735,A类,二线城市,否,8,6,,3,5
4739,A类,二线城市,否,20,12,15,20,16
41278,A类,二线城市,否,15,21,22,18,13
57816,A类,三线城市,否,19,12,8,3,20
1477,A类,二线城市,否,20,23,23,26,23
45582,A类,二线城市,否,17,13,10,23,14
10542,A类,二线城市,否,10,6,8,3,5
10690,A类,二线城市,否,12,14,10,7,6
6039,A类,二线城市,否,5,8,7,12,9
44347,A类,二线城市,否,7,8,12,10,11
520,A类,二线城市,否,46,57,32,32,52
896,A类,一线城市,否,25,52,29,29,34
3611,A类,二线城市,否,6,9,13,4,10
12866,A类,二线城市,否,11,13,14,19,17
31355,A类,二线城市,否,23,21,22,21,40
27783,A类,二线城市,否,20,12,28,23,12
29133,A类,二线城市,否,22,11,13,26,19
13263,A类,二线城市,否,16,6,7,41,12
10492,A类,一线城市,否,187,64,170,185,181
39417,A类,二线城市,否,26,28,37,30,21
2017,A类,二线城市,否,21,24,18,14,9
24078,A类,三线城市,否,21,11,20,10,13
27229,A类,二线城市,否,18,18,25,23,28
4616,A类,二线城市,否,10,7,8,6,9
55427,A类,二线城市,否,4,,,0,0
59291,A类,二线城市,否,22,13,23,19,16
5920,A类,二线城市,否,6,,,12,6
15694,A类,二线城市,否,21,6,14,17,14
3455,A类,二线城市,否,2,1,7,3,0
10365,A类,二线城市,否,3,5,2,5,4
39568,A类,二线城市,否,10,8,5,8,10
33318,A类,一线城市,否,13,13,14,3,6
11003,A类,二线城市,否,14,8,8,8,11
46245,A类,二线城市,否,11,13,17,6,16
29390,A类,二线城市,否,13,5,10,4,8
49790,A类,二线城市,否,8,11,2,9,7
53609,A类,二线城市,否,42,31,34,31,26
2857,A类,一线城市,否,19,20,38,43,33
18560,A类,一线城市,否,13,7,8,2,9
47074,A类,一线城市,否,6,7,8,9,8
54663,A类,二线城市,否,6,2,6,6,1
54005,A类,二线城市,否,10,1,4,3,6
43469,A类,一线城市,否,35,17,27,33,31
54313,A类,二线城市,否,12,8,20,10,5
18449,A类,二线城市,否,20,9,18,6,5
35664,A类,一线城市,否,18,5,6,6,19
49437,A类,二线城市,否,7,10,7,4,0
